,day,block,trial,C4,C3
4,Day1,1,6,610.5929719600014,811.2409122144983
5,Day1,1,6,637.2017551198528,921.0543775879587
6,Day1,1,6,898.6865748911345,734.2293459437898
7,Day1,1,6,624.288561927994,731.3870696115587
8,Day1,1,6,,
9,Day1,1,6,684.1747779811758,813.4786151338748
0,Day1,1,7,,
1,Day1,1,7,1095.4658867252897,1511.376267991427
2,Day1,1,7,3320.142817013401,3706.982903868871
3,Day1,1,7,,
4,Day1,1,7,1402.273627496034,1257.8135646714686
5,Day1,1,7,1084.8949027870374,1568.0067441446483
6,Day1,1,7,662.6965209489077,867.7676860352773
7,Day1,1,7,,
8,Day1,1,7,862.9957093839964,1178.1500259360776
9,Day1,1,7,,
0,Day1,1,8,,
1,Day1,1,8,,
2,Day1,1,8,886.5940026645413,794.4203751374213
3,Day1,1,8,,
4,Day1,1,8,,
5,Day1,1,8,519.0578808101748,1399.9768765831573
6,Day1,1,8,424.3606571226363,730.2174833144181
7,Day1,1,8,,
8,Day1,1,8,461.7271986204373,983.6004274532806
9,Day1,1,8,,
0,Day1,1,9,,
1,Day1,1,9,669.9753231757143,1804.8752875124728
2,Day1,1,9,983.5507797714216,1284.4699580067345
3,Day1,1,9,,
4,Day1,1,9,,
5,Day1,1,9,1022.6412866746573,511.1799639242003
6,Day1,1,9,349.5051125764489,4961.875248868574
7,Day1,1,9,429.85750952937065,571.9661655087289
8,Day1,1,9,,
9,Day1,1,9,925.22264197806,826.1717892653897
0,Day1,2,0,,
1,Day1,2,0,,
2,Day1,2,0,1785.1870276471923,1013.5719372446038
3,Day1,2,0,,
4,Day1,2,0,,
5,Day1,2,0,,
6,Day1,2,0,765.1828206632525,1254.2952491893075
7,Day1,2,0,488.8627890231828,1362.2374160945567
8,Day1,2,0,672.4450214294671,609.2362454917186
9,Day1,2,0,2120.819467670188,1229.1412810868746
0,Day1,2,1,,
1,Day1,2,1,568.9993826297672,531.9227233078032
2,Day1,2,1,501.6943234399777,1255.5443024998747
3,Day1,2,1,238.31356407073653,695.9860742813812
4,Day1,2,1,436.7475326835338,1071.1727787048292
5,Day1,2,1,296.77714401898703,885.8053031322263
6,Day1,2,1,1365.093523499729,1006.9440377310012
7,Day1,2,1,477.5713328462882,593.2361452274807
8,Day1,2,1,591.5147182556108,922.4321386132956
9,Day1,2,1,730.5646621766065,2003.6172806852994
0,Day1,2,2,932.5341195194163,830.4525271445985
1,Day1,2,2,,
2,Day1,2,2,896.3383860496097,767.5939480006972
3,Day1,2,2,1966.426874252396,619.9407219857652
4,Day1,2,2,,
