,pid,condition,day,block,hand,RT
9,P09,control,Day3,3,right,15.284624406849616
0,P09,control,Day3,4,right,13.999691263918066
1,P09,control,Day3,4,left,14.800655317230849
2,P09,control,Day3,4,right,15.618409097529366
3,P09,control,Day3,4,left,15.68511409444909
4,P09,control,Day3,4,left,15.785208936955314
5,P09,control,Day3,4,right,14.734005479098414
6,P09,control,Day3,4,left,14.617213224017178
7,P09,control,Day3,4,right,15.251332238316536
8,P09,control,Day3,4,left,15.201183309560292
9,P09,control,Day3,4,right,13.499210539623164
